신호ID,종목코드,종목명,전략,운용,시각,가격,결과,상세,후속결정,신호근거,등락률%,VWAP이격%,범위위치,체결강도,거래량배수,스프레드틱,5분후,15분후,30분후,60분후,60분최고,60분최저
352820#3-S20260102102300,352820,하이브,VWAP눌림,FullAuto,2026-01-02 10:23:00,346500,진입,,,"VWAP 343,099 재돌파, 직전봉 고가 346,000 돌파",2.97,0.99,0.8,266.8,0.90,1,,,,,,
123690#1-S20260102102300,123690,한국화장품,VWAP눌림,FullAuto,2026-01-02 10:23:00,11010,진입,,,"VWAP 11,001 재돌파, 직전봉 고가 10,990 돌파",9.66,0.08,0.415,160.0,1.39,1,,,,,,
123690#1-S20260102105100,123690,한국화장품,VWAP눌림,FullAuto,2026-01-02 10:51:00,11070,진입,,,"VWAP 11,028 재돌파, 직전봉 고가 10,950 돌파",10.26,0.38,0.508,176.0,2.45,1,,,,,,
123690#1-S20260102113300,123690,한국화장품,VWAP눌림,FullAuto,2026-01-02 11:33:00,11150,진입,,,"VWAP 11,120 재돌파, 직전봉 고가 11,140 돌파",11.06,0.27,0.526,170.4,0.48,1,,,,,,
352820#3-S20260102114600,352820,하이브,VWAP눌림,FullAuto,2026-01-02 11:46:00,344500,진입,,,"VWAP 343,285 재돌파, 직전봉 고가 344,000 돌파",2.38,0.35,0.64,318.6,1.28,1,,,,,,
274090#4-S20260102120300,274090,켄코아에어로스페이스,VWAP눌림,FullAuto,2026-01-02 12:03:00,19440,진입,,,"VWAP 19,308 재돌파, 직전봉 고가 19,410 돌파",9.34,0.68,0.690,147.0,0.47,1,,,,,,
352820#3-S20260102121100,352820,하이브,VWAP눌림,FullAuto,2026-01-02 12:11:00,344250,진입,,,"VWAP 343,375 재돌파, 직전봉 고가 344,000 돌파",2.30,0.25,0.62,327.8,1.50,2,,,,,,
274090#4-S20260102133700,274090,켄코아에어로스페이스,VWAP눌림,FullAuto,2026-01-02 13:37:00,19300,진입,,,"VWAP 19,271 재돌파, 직전봉 고가 19,200 돌파",8.55,0.15,0.643,173.3,4.11,1,,,,,,
005930#7-S20260102150000,005930,삼성전자,종가베팅,FullAuto,2026-01-02 15:00:00,128150,진입,,,"종가베팅: 등락 +6.4%, 고저범위 99% 위치, VWAP 124,518 위",6.44,2.92,0.994,837.0,4.04,2,,,,,,
000660#8-S20260102150000,000660,SK하이닉스,종가베팅,FullAuto,2026-01-02 15:00:00,678000,차단,매수 가능 수량 0 (투입금/리스크/예수금 확인),,"종가베팅: 등락 +4.0%, 고저범위 97% 위치, VWAP 663,730 위",3.99,2.15,0.969,477.5,2.44,1,679000,678000,,,679000,676000
042700#9-S20260105090525,042700,한미반도체,ORB,FullAuto,2026-01-05 09:05:25,158500,진입,,,"ORB5 고가 158,400 돌파 (범위 3.4%)",8.64,1.55,1,304.6,1.66,1,,,,,,
034020#11-S20260105090527,034020,두산에너빌리티,ORB,FullAuto,2026-01-05 09:05:27,80100,진입,,,"ORB5 고가 80,000 돌파 (범위 5.1%)",5.81,1.52,1,485.1,1.78,1,,,,,,
042700#9-S20260105091922,042700,한미반도체,ORB,FullAuto,2026-01-05 09:19:22,158500,진입,,,"ORB5 고가 158,400 돌파 (범위 3.4%)",8.64,1.12,0.803,222.3,4.01,1,,,,,,
042700#9-S20260105093527,042700,한미반도체,ORB,FullAuto,2026-01-05 09:35:27,158600,진입,,,"ORB5 고가 158,400 돌파 (범위 3.4%)",8.70,0.10,0.574,217.2,2.12,1,,,,,,
190510#14-S20260105103400,190510,나무가,VWAP눌림,FullAuto,2026-01-05 10:34:00,19320,진입,,,"VWAP 19,309 재돌파, 직전봉 고가 19,310 돌파",12.72,0.06,0.671,114.5,0.15,1,,,,,,
190510#14-S20260105104600,190510,나무가,VWAP눌림,FullAuto,2026-01-05 10:46:00,19330,진입,,,"VWAP 19,309 재돌파, 직전봉 고가 19,310 돌파",12.78,0.11,0.674,123.1,1.22,1,,,,,,
190510#14-S20260105113400,190510,나무가,VWAP눌림,FullAuto,2026-01-05 11:34:00,19590,진입,,,"VWAP 19,503 재돌파, 직전봉 고가 19,520 돌파",14.29,0.45,0.722,151.9,0.74,1,,,,,,
464080#16-S20260105115200,464080,에스오에스랩,VWAP눌림,FullAuto,2026-01-05 11:52:00,16340,진입,,,"VWAP 16,133 재돌파, 직전봉 고가 16,140 돌파",4.74,1.28,0.669,217.4,1.75,1,,,,,,
042700#19-S20260105150000,042700,한미반도체,종가베팅,FullAuto,2026-01-05 15:00:00,166000,진입,,,"종가베팅: 등락 +13.8%, 고저범위 98% 위치, VWAP 159,782 위",13.78,3.89,0.985,280.6,2.41,1,,,,,,
010120#18-S20260105150000,010120,LS ELECTRIC,종가베팅,FullAuto,2026-01-05 15:00:00,101400,진입,,,"종가베팅: 등락 +3.2%, 고저범위 88% 위치, VWAP 100,357 위",3.15,1.04,0.875,534.7,1.20,1,,,,,,
307950#20-S20260106090622,307950,현대오토에버,ORB,FullAuto,2026-01-06 09:06:22,350500,진입,,,"ORB5 고가 350,000 돌파 (범위 7.2%)",12.34,2.29,1,184.5,1.97,1,,,,,,
