날짜,재생종목,거래,승,실현손익,평가금액,일수익률%,누적수익률%,보유종목,비고
2026-01-02,40,0,0,0,10000654,0.007,0.007,1,
2026-01-05,40,3,2,11858,10019468,0.188,0.195,2,
2026-01-06,41,3,2,19507,10051491,0.320,0.515,2,
2026-01-07,41,3,2,45373,10087197,0.355,0.872,2,
2026-01-08,42,3,1,-9235,10068511,-0.185,0.685,2,
2026-01-09,42,5,2,-38090,10034298,-0.340,0.343,2,
2026-01-12,42,4,1,-26152,10013508,-0.207,0.135,2,
2026-01-13,40,4,2,7810,10021483,0.080,0.215,2,
2026-01-14,42,6,2,-23172,9984809,-0.366,-0.152,1,
2026-01-15,41,3,0,-61810,9930910,-0.540,-0.691,2,
2026-01-16,40,3,3,40409,9963676,0.330,-0.363,1,
2026-01-19,40,4,4,120699,10097124,1.339,0.971,2,
2026-01-20,40,4,3,83438,10163886,0.661,1.639,2,
2026-01-21,40,4,2,-6112,10161930,-0.019,1.619,2,
2026-01-22,40,3,2,27649,10185986,0.237,1.860,2,
2026-01-23,41,5,1,-50662,10137015,-0.481,1.370,2,
2026-01-26,41,4,0,-71293,10069633,-0.665,0.696,2,
2026-01-27,41,3,3,32699,10102534,0.327,1.025,2,
2026-01-28,40,5,4,32371,10130930,0.281,1.309,2,
2026-01-29,42,2,1,4335,10134545,0.036,1.345,2,
2026-01-30,42,5,0,-87459,10046256,-0.871,0.463,2,
2026-02-02,42,4,2,-13833,10043291,-0.030,0.433,1,
2026-02-03,41,3,2,25579,10069747,0.263,0.697,2,
2026-02-04,41,4,2,9733,10073571,0.038,0.736,1,
2026-02-05,41,2,0,-24875,10046482,-0.269,0.465,2,
2026-02-06,41,3,1,-8219,10042453,-0.040,0.425,2,
2026-02-09,42,3,3,64707,10100500,0.578,1.005,2,
2026-02-10,42,3,1,-23874,10072781,-0.274,0.728,2,
2026-02-11,41,6,4,1230,10079104,0.063,0.791,2,
2026-02-12,40,4,2,-15006,10067861,-0.112,0.679,2,
2026-02-13,42,2,1,-1702,10145290,0.769,1.453,1,
2026-02-19,41,2,1,55717,10121158,-0.238,1.212,2,
2026-02-20,42,3,1,20200,10141181,0.198,1.412,2,
2026-02-23,41,4,4,66968,10200488,0.585,2.005,2,
2026-02-24,41,7,2,-75210,10139391,-0.599,1.394,2,
2026-02-25,40,4,3,23108,10148280,0.088,1.483,2,
2026-02-26,41,3,1,-40022,10116645,-0.312,1.166,0,
2026-02-27,40,2,0,-39717,10074116,-0.420,0.741,1,
2026-03-03,41,3,1,-16482,10060445,-0.136,0.604,0,
2026-03-04,40,2,1,18544,10078988,0.184,0.790,0,
2026-03-05,40,3,1,-31133,10061257,-0.176,0.613,1,
2026-03-06,40,3,2,50275,10108550,0.470,1.086,2,
2026-03-09,42,4,0,-82324,10010111,-0.974,0.101,1,
2026-03-10,40,3,2,11894,10027698,0.176,0.277,0,
2026-03-11,40,4,2,-10971,10016727,-0.109,0.167,0,
2026-03-12,40,0,0,0,10012547,-0.042,0.125,2,
2026-03-13,41,6,3,41590,10043250,0.307,0.432,2,
2026-03-16,42,3,0,-56760,10001556,-0.415,0.016,0,
2026-03-17,40,4,4,73373,10061163,0.596,0.612,2,
2026-03-18,42,4,4,84256,10158399,0.966,1.584,2,
2026-03-19,41,4,3,37044,10205230,0.461,2.052,2,
2026-03-20,42,5,3,36575,10235660,0.298,2.357,2,
2026-03-23,41,3,2,21312,10254112,0.180,2.541,0,
2026-03-24,40,3,2,-1013,10253003,-0.011,2.530,1,
2026-03-25,40,4,4,47592,10306896,0.526,3.069,1,
2026-03-26,41,3,1,-3213,10282579,-0.236,2.826,2,
2026-03-27,42,4,2,-62926,10237099,-0.442,2.371,2,
2026-03-30,41,4,1,-36300,10199955,-0.363,2.000,1,
2026-03-31,40,2,1,-2282,10195965,-0.039,1.960,0,
2026-04-01,40,3,2,53880,10248284,0.513,2.483,1,
2026-04-02,40,4,3,15149,10264098,0.154,2.641,1,
2026-04-03,40,4,3,25138,10286658,0.220,2.867,2,
2026-04-06,41,4,2,-36919,10259520,-0.264,2.595,2,
