symbol,name,market,securityType,isCommonShare
000020,000020,,STOCK,1
000040,000040,,STOCK,1
000050,000050,,STOCK,1
000070,000070,,STOCK,1
000080,000080,,STOCK,1
000100,000100,,STOCK,1
000120,000120,,STOCK,1
000140,000140,,STOCK,1
000150,000150,,STOCK,1
000180,000180,,STOCK,1
0001A0,0001A0,,STOCK,1
000210,000210,,STOCK,1
000220,000220,,STOCK,1
000230,000230,,STOCK,1
000240,000240,,STOCK,1
000250,000250,,STOCK,1
000270,000270,,STOCK,1
000300,000300,,STOCK,1
000320,000320,,STOCK,1
000370,000370,,STOCK,1
000390,000390,,STOCK,1
000400,000400,,STOCK,1
000430,000430,,STOCK,1
000440,000440,,STOCK,1
000480,000480,,STOCK,1
000490,000490,,STOCK,1
0004V0,0004V0,,STOCK,1
0004Y0,0004Y0,,STOCK,1
000500,000500,,STOCK,1
000520,000520,,STOCK,1
000540,000540,,STOCK,1
000590,000590,,STOCK,1
000640,000640,,STOCK,1
000650,000650,,STOCK,1
000660,000660,,STOCK,1
000670,000670,,STOCK,1
000680,000680,,STOCK,1
000700,000700,,STOCK,1
000720,000720,,STOCK,1
000760,000760,,STOCK,1
0007C0,0007C0,,STOCK,1
0007J0,0007J0,,STOCK,1
000810,000810,,STOCK,1
000850,000850,,STOCK,1
000860,000860,,STOCK,1
000880,000880,,STOCK,1
000890,000890,,STOCK,1
0008Z0,0008Z0,,STOCK,1
000910,000910,,STOCK,1
000950,000950,,STOCK,1
000970,000970,,STOCK,1
000990,000990,,STOCK,1
0009K0,0009K0,,STOCK,1
001000,001000,,STOCK,1
001020,001020,,STOCK,1
001040,001040,,STOCK,1
001060,001060,,STOCK,1
001070,001070,,STOCK,1
001080,001080,,STOCK,1
0010F0,0010F0,,STOCK,1
0010S0,0010S0,,STOCK,1
0010V0,0010V0,,STOCK,1
001120,001120,,STOCK,1
001130,001130,,STOCK,1
0011A0,0011A0,,STOCK,1
0011T0,0011T0,,STOCK,1
001200,001200,,STOCK,1
001210,001210,,STOCK,1
001230,001230,,STOCK,1
001250,001250,,STOCK,1
001260,001260,,STOCK,1
001270,001270,,STOCK,1
001290,001290,,STOCK,1
001340,001340,,STOCK,1
001360,001360,,STOCK,1
001380,001380,,STOCK,1
001390,001390,,STOCK,1
0013V0,0013V0,,STOCK,1
001420,001420,,STOCK,1
001430,001430,,STOCK,1
001440,001440,,STOCK,1
001450,001450,,STOCK,1
001460,001460,,STOCK,1
001470,001470,,STOCK,1
001500,001500,,STOCK,1
001510,001510,,STOCK,1
001520,001520,,STOCK,1
001530,001530,,STOCK,1
001540,001540,,STOCK,1
001550,001550,,STOCK,1
001560,001560,,STOCK,1
001570,001570,,STOCK,1
0015G0,0015G0,,STOCK,1
0015N0,0015N0,,STOCK,1
0015S0,0015S0,,STOCK,1
001620,001620,,STOCK,1
001630,001630,,STOCK,1
001680,001680,,STOCK,1
001720,001720,,STOCK,1
001740,001740,,STOCK,1
001750,001750,,STOCK,1
001770,001770,,STOCK,1
001780,001780,,STOCK,1
001790,001790,,STOCK,1
0017J0,0017J0,,STOCK,1
001800,001800,,STOCK,1
001810,001810,,STOCK,1
001820,001820,,STOCK,1
001840,001840,,STOCK,1
001940,001940,,STOCK,1
002020,002020,,STOCK,1
002030,002030,,STOCK,1
002070,002070,,STOCK,1
002100,002100,,STOCK,1
002140,002140,,STOCK,1
002150,002150,,STOCK,1
002170,002170,,STOCK,1
002200,002200,,STOCK,1
002210,002210,,STOCK,1
002220,002220,,STOCK,1
002230,002230,,STOCK,1
002240,002240,,STOCK,1
002290,002290,,STOCK,1
002310,002310,,STOCK,1
002320,002320,,STOCK,1
002350,002350,,STOCK,1
002360,002360,,STOCK,1
002380,002380,,STOCK,1
002390,002390,,STOCK,1
002410,002410,,STOCK,1
002420,002420,,STOCK,1
002450,002450,,STOCK,1
002460,002460,,STOCK,1
002600,002600,,STOCK,1
002620,002620,,STOCK,1
002630,002630,,STOCK,1
002680,002680,,STOCK,1
002690,002690,,STOCK,1
002700,002700,,STOCK,1
002710,002710,,STOCK,1
002720,002720,,STOCK,1
002760,002760,,STOCK,1
002780,002780,,STOCK,1
002790,002790,,STOCK,1
002800,002800,,STOCK,1
002810,002810,,STOCK,1
002820,002820,,STOCK,1
002840,002840,,STOCK,1
002870,002870,,STOCK,1
002880,002880,,STOCK,1
002900,002900,,STOCK,1
002920,002920,,STOCK,1
002960,002960,,STOCK,1
002990,002990,,STOCK,1
003000,003000,,STOCK,1
003010,003010,,STOCK,1
003030,003030,,STOCK,1
003060,003060,,STOCK,1
003070,003070,,STOCK,1
003080,003080,,STOCK,1
003090,003090,,STOCK,1
003100,003100,,STOCK,1
003120,003120,,STOCK,1
003160,003160,,STOCK,1
003200,003200,,STOCK,1
003220,003220,,STOCK,1
003230,003230,,STOCK,1
003240,003240,,STOCK,1
003280,003280,,STOCK,1
003300,003300,,STOCK,1
003310,003310,,STOCK,1
003350,003350,,STOCK,1
003380,003380,,STOCK,1
003460,003460,,STOCK,1
003470,003470,,STOCK,1
003480,003480,,STOCK,1
003490,003490,,STOCK,1
003520,003520,,STOCK,1
003530,003530,,STOCK,1
003540,003540,,STOCK,1
003550,003550,,STOCK,1
003570,003570,,STOCK,1
003580,003580,,STOCK,1
003610,003610,,STOCK,1
003620,003620,,STOCK,1
003650,003650,,STOCK,1
003670,003670,,STOCK,1
003680,003680,,STOCK,1
003690,003690,,STOCK,1
003720,003720,,STOCK,1
003780,003780,,STOCK,1
0037T0,0037T0,,STOCK,1
003800,003800,,STOCK,1
003830,003830,,STOCK,1
003850,003850,,STOCK,1
003920,003920,,STOCK,1
003960,003960,,STOCK,1
0039P0,0039P0,,STOCK,1
004000,004000,,STOCK,1
004020,004020,,STOCK,1
004060,004060,,STOCK,1
004080,004080,,STOCK,1
004090,004090,,STOCK,1
004100,004100,,STOCK,1
004140,004140,,STOCK,1
004150,004150,,STOCK,1
004170,004170,,STOCK,1
0041B0,0041B0,,STOCK,1
0041J0,0041J0,,STOCK,1
0041L0,0041L0,,STOCK,1
004250,004250,,STOCK,1
004270,004270,,STOCK,1
004310,004310,,STOCK,1
004360,004360,,STOCK,1
004370,004370,,STOCK,1
004380,004380,,STOCK,1
004410,004410,,STOCK,1
004430,004430,,STOCK,1
004440,004440,,STOCK,1
004450,004450,,STOCK,1
004490,004490,,STOCK,1
0044K0,0044K0,,STOCK,1
004540,004540,,STOCK,1
004560,004560,,STOCK,1
004590,004590,,STOCK,1
004650,004650,,STOCK,1
004690,004690,,STOCK,1
004700,004700,,STOCK,1
004710,004710,,STOCK,1
004720,004720,,STOCK,1
004770,004770,,STOCK,1
004780,004780,,STOCK,1
004800,004800,,STOCK,1
004830,004830,,STOCK,1
004840,004840,,STOCK,1
004870,004870,,STOCK,1
004890,004890,,STOCK,1
004910,004910,,STOCK,1
004920,004920,,STOCK,1
004960,004960,,STOCK,1
004970,004970,,STOCK,1
004980,004980,,STOCK,1
004990,004990,,STOCK,1
005010,005010,,STOCK,1
005030,005030,,STOCK,1
005070,005070,,STOCK,1
005090,005090,,STOCK,1
005110,005110,,STOCK,1
005160,005160,,STOCK,1
005180,005180,,STOCK,1
005250,005250,,STOCK,1
005290,005290,,STOCK,1
005300,005300,,STOCK,1
005320,005320,,STOCK,1
005360,005360,,STOCK,1
005380,005380,,STOCK,1
005420,005420,,STOCK,1
005430,005430,,STOCK,1
005440,005440,,STOCK,1
005490,005490,,STOCK,1
0054V0,0054V0,,STOCK,1
005500,005500,,STOCK,1
005610,005610,,STOCK,1
005670,005670,,STOCK,1
005680,005680,,STOCK,1
005690,005690,,STOCK,1
005710,005710,,STOCK,1
005720,005720,,STOCK,1
005740,005740,,STOCK,1
005750,005750,,STOCK,1
005800,005800,,STOCK,1
005810,005810,,STOCK,1
005820,005820,,STOCK,1
005830,005830,,STOCK,1
005850,005850,,STOCK,1
005860,005860,,STOCK,1
005870,005870,,STOCK,1
005880,005880,,STOCK,1
005930,005930,,STOCK,1
005940,005940,,STOCK,1
005950,005950,,STOCK,1
005960,005960,,STOCK,1
005990,005990,,STOCK,1
006040,006040,,STOCK,1
006050,006050,,STOCK,1
006060,006060,,STOCK,1
006090,006090,,STOCK,1
006110,006110,,STOCK,1
006120,006120,,STOCK,1
006140,006140,,STOCK,1
006200,006200,,STOCK,1
006220,006220,,STOCK,1
006260,006260,,STOCK,1
006280,006280,,STOCK,1
006340,006340,,STOCK,1
006360,006360,,STOCK,1
006370,006370,,STOCK,1
006400,006400,,STOCK,1
006490,006490,,STOCK,1
006570,006570,,STOCK,1
006620,006620,,STOCK,1
006650,006650,,STOCK,1
006660,006660,,STOCK,1
006730,006730,,STOCK,1
006740,006740,,STOCK,1
006800,006800,,STOCK,1
006840,006840,,STOCK,1
006880,006880,,STOCK,1
006890,006890,,STOCK,1
0068Y0,0068Y0,,STOCK,1
006910,006910,,STOCK,1
006920,006920,,STOCK,1
006980,006980,,STOCK,1
007070,007070,,STOCK,1
007110,007110,,STOCK,1
007120,007120,,STOCK,1
007160,007160,,STOCK,1
0071M0,0071M0,,STOCK,1
007210,007210,,STOCK,1
007280,007280,,STOCK,1
0072Z0,0072Z0,,STOCK,1
007310,007310,,STOCK,1
007330,007330,,STOCK,1
007340,007340,,STOCK,1
007370,007370,,STOCK,1
007390,007390,,STOCK,1
007460,007460,,STOCK,1
007530,007530,,STOCK,1
007540,007540,,STOCK,1
007570,007570,,STOCK,1
007590,007590,,STOCK,1
007610,007610,,STOCK,1
007660,007660,,STOCK,1
007680,007680,,STOCK,1
007690,007690,,STOCK,1
007700,007700,,STOCK,1
007720,007720,,STOCK,1
007770,007770,,STOCK,1
007810,007810,,STOCK,1
007820,007820,,STOCK,1
007860,007860,,STOCK,1
007980,007980,,STOCK,1
008040,008040,,STOCK,1
008060,008060,,STOCK,1
008250,008250,,STOCK,1
008260,008260,,STOCK,1
0082N0,0082N0,,STOCK,1
008350,008350,,STOCK,1
008370,008370,,STOCK,1
008420,008420,,STOCK,1
008470,008470,,STOCK,1
008490,008490,,STOCK,1
008600,008600,,STOCK,1
008700,008700,,STOCK,1
008730,008730,,STOCK,1
008770,008770,,STOCK,1
008830,008830,,STOCK,1
008870,008870,,STOCK,1
0088D0,0088D0,,STOCK,1
0088M0,0088M0,,STOCK,1
008930,008930,,STOCK,1
008970,008970,,STOCK,1
009070,009070,,STOCK,1
009140,009140,,STOCK,1
009150,009150,,STOCK,1
009160,009160,,STOCK,1
009180,009180,,STOCK,1
009190,009190,,STOCK,1
0091W0,0091W0,,STOCK,1
009200,009200,,STOCK,1
009240,009240,,STOCK,1
009270,009270,,STOCK,1
009290,009290,,STOCK,1
009300,009300,,STOCK,1
009310,009310,,STOCK,1
009320,009320,,STOCK,1
0093G0,0093G0,,STOCK,1
009410,009410,,STOCK,1
009420,009420,,STOCK,1
009440,009440,,STOCK,1
009450,009450,,STOCK,1
009460,009460,,STOCK,1
009470,009470,,STOCK,1
009520,009520,,STOCK,1
009540,009540,,STOCK,1
009580,009580,,STOCK,1
009620,009620,,STOCK,1
009680,009680,,STOCK,1
0096B0,0096B0,,STOCK,1
0096D0,0096D0,,STOCK,1
009730,009730,,STOCK,1
009770,009770,,STOCK,1
009780,009780,,STOCK,1
0097F0,0097F0,,STOCK,1
009810,009810,,STOCK,1
009830,009830,,STOCK,1
0098T0,0098T0,,STOCK,1
009900,009900,,STOCK,1
009970,009970,,STOCK,1
0099W0,0099W0,,STOCK,1
0099X0,0099X0,,STOCK,1
010040,010040,,STOCK,1
010060,010060,,STOCK,1
010100,010100,,STOCK,1
010120,010120,,STOCK,1
010130,010130,,STOCK,1
010140,010140,,STOCK,1
010170,010170,,STOCK,1
0101C0,0101C0,,STOCK,1
010240,010240,,STOCK,1
010280,010280,,STOCK,1
010400,010400,,STOCK,1
010470,010470,,STOCK,1
010580,010580,,STOCK,1
0105P0,0105P0,,STOCK,1
010640,010640,,STOCK,1
010660,010660,,STOCK,1
010690,010690,,STOCK,1
010770,010770,,STOCK,1
010780,010780,,STOCK,1
010820,010820,,STOCK,1
010950,010950,,STOCK,1
010960,010960,,STOCK,1
011000,011000,,STOCK,1
011040,011040,,STOCK,1
011070,011070,,STOCK,1
011080,011080,,STOCK,1
011090,011090,,STOCK,1
011150,011150,,STOCK,1
011170,011170,,STOCK,1
011200,011200,,STOCK,1
011210,011210,,STOCK,1
011230,011230,,STOCK,1
011280,011280,,STOCK,1
011300,011300,,STOCK,1
011320,011320,,STOCK,1
011330,011330,,STOCK,1
011370,011370,,STOCK,1
011390,011390,,STOCK,1
011420,011420,,STOCK,1
011500,011500,,STOCK,1
011560,011560,,STOCK,1
0115H0,0115H0,,STOCK,1
011690,011690,,STOCK,1
011700,011700,,STOCK,1
011760,011760,,STOCK,1
011780,011780,,STOCK,1
011790,011790,,STOCK,1
0117P0,0117P0,,STOCK,1
011810,011810,,STOCK,1
011930,011930,,STOCK,1
012030,012030,,STOCK,1
0120G0,0120G0,,STOCK,1
012160,012160,,STOCK,1
012170,012170,,STOCK,1
012200,012200,,STOCK,1
012210,012210,,STOCK,1
012280,012280,,STOCK,1
012320,012320,,STOCK,1
012330,012330,,STOCK,1
012340,012340,,STOCK,1
012450,012450,,STOCK,1
012610,012610,,STOCK,1
012620,012620,,STOCK,1
012630,012630,,STOCK,1
012690,012690,,STOCK,1
0126Z0,0126Z0,,STOCK,1
012700,012700,,STOCK,1
012750,012750,,STOCK,1
012790,012790,,STOCK,1
012800,012800,,STOCK,1
012860,012860,,STOCK,1
0129K0,0129K0,,STOCK,1
013000,013000,,STOCK,1
013030,013030,,STOCK,1
0130D0,0130D0,,STOCK,1
0130H0,0130H0,,STOCK,1
013120,013120,,STOCK,1
0131D0,0131D0,,STOCK,1
0132G0,0132G0,,STOCK,1
013310,013310,,STOCK,1
013360,013360,,STOCK,1
0134X0,0134X0,,STOCK,1
013520,013520,,STOCK,1
013570,013570,,STOCK,1
013580,013580,,STOCK,1
013700,013700,,STOCK,1
013720,013720,,STOCK,1
013810,013810,,STOCK,1
013870,013870,,STOCK,1
013890,013890,,STOCK,1
013990,013990,,STOCK,1
014100,014100,,STOCK,1
014130,014130,,STOCK,1
014160,014160,,STOCK,1
014190,014190,,STOCK,1
014280,014280,,STOCK,1
014440,014440,,STOCK,1
014470,014470,,STOCK,1
014530,014530,,STOCK,1
014570,014570,,STOCK,1
014580,014580,,STOCK,1
014620,014620,,STOCK,1
014680,014680,,STOCK,1
014710,014710,,STOCK,1
014790,014790,,STOCK,1
014820,014820,,STOCK,1
014830,014830,,STOCK,1
014910,014910,,STOCK,1
014940,014940,,STOCK,1
014950,014950,,STOCK,1
014970,014970,,STOCK,1
014990,014990,,STOCK,1
015020,015020,,STOCK,1
015230,015230,,STOCK,1
015260,015260,,STOCK,1
015360,015360,,STOCK,1
015590,015590,,STOCK,1
0155E0,0155E0,,STOCK,1
0156T0,0156T0,,STOCK,1
015710,015710,,STOCK,1
015750,015750,,STOCK,1
015760,015760,,STOCK,1
015860,015860,,STOCK,1
015890,015890,,STOCK,1
016090,016090,,STOCK,1
016100,016100,,STOCK,1
0161M0,0161M0,,STOCK,1
016250,016250,,STOCK,1
016360,016360,,STOCK,1
016380,016380,,STOCK,1
016450,016450,,STOCK,1
0164H0,0164H0,,STOCK,1
016580,016580,,STOCK,1
016590,016590,,STOCK,1
0165X0,0165X0,,STOCK,1
016600,016600,,STOCK,1
016610,016610,,STOCK,1
016670,016670,,STOCK,1
016710,016710,,STOCK,1
016740,016740,,STOCK,1
